,s.area,s.perimeter,s.radius.mean,s.radius.sd,s.radius.min,s.radius.max,id,m.cx,m.cy,m.majoraxis,m.eccentricity,m.theta
342,257,58,9.491867806,3.329798928,4.293899663,14.84830149,342,1988.599592,780.087549,30.41632839,0.937994035,0.640191954
343,288,72,9.457876663,3.507124083,1.447712649,15.19452697,343,1498.264814,619.0045833,31.84786346,0.899472687,-1.068442608
344,167,54,7.601949115,2.2510048,3.971520701,12.33163708,344,1995.896994,558.234325,17.7185611,0.843445526,-1.224678985
345,139,39,6.288570245,1.033418581,4.440637752,8.277326588,345,1675.45833,841.7694878,15.58711422,0.705206803,0.648043427
346,109,34,5.455932296,0.604281159,4.009180641,6.818012476,346,1608.686119,624.4899273,11.11611366,0.448175301,1.539999468
347,132,38,6.066569658,0.946301244,4.372303284,7.841266292,347,663.6434179,501.5447015,15.11081931,0.740468023,1.337716883
348,302,76,9.628021008,3.528862921,2.260861748,15.72480177,348,697.4237649,583.4216316,31.55970066,0.92065827,0.958780653
349,323,91,10.28964513,3.550866322,3.997010113,16.01367004,349,575.0698645,54.14536361,30.95450466,0.81679493,-1.006700228
350,180,52,7.152110871,1.862222387,3.792022926,11.02246898,350,427.7788086,657.4420412,19.27579922,0.833473933,-0.016515924
351,162,59,6.736696635,2.632934683,0.847627102,11.1942705,351,521.6535687,552.6944598,19.28481339,0.787224239,0.132181446
352,197,66,8.049015437,2.825802452,2.434165298,13.34340185,352,1208.469181,698.3969418,21.9509447,0.855793105,0.806660328
353,354,110,10.33182722,4.163144982,0.764987981,16.26998707,353,865.719362,623.5991359,30.19122627,0.761763003,-0.449366544
354,163,55,6.830853959,1.965805907,2.744009252,9.993750113,354,1597.250221,507.9512466,16.53630069,0.632380807,0.193824912
355,139,41,6.32237399,1.503985179,3.1599253,9.27150137,355,1434.376606,480.5734436,16.48558218,0.774861868,0.179087067
356,228,69,8.052005201,3.566324074,0.430900543,13.99524329,356,1094.722618,625.7608732,26.32669828,0.874101061,-0.948420961
357,149,40,6.457315808,1.263654447,3.399448485,8.360995754,357,918.6745312,649.296741,15.39592236,0.677715127,-0.667246325
358,245,63,9.108208443,3.665529237,2.313107458,14.68833862,358,745.1021578,551.595695,31.93424427,0.949342819,0.280057734
359,113,35,5.525744259,0.54662917,4.010191099,6.628633005,359,1390.334766,397.3793395,11.89400284,0.50667244,-1.535010311
